,Price,Levy,Manufacturer,Model,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Wheel,Color,Airbags,Age
57,1411,629,NISSAN,Juke,Jeep,Yes,Petrol,1.6,87112 ,4.0,Automatic,4x4,Left wheel,Black,0,9
59,23521,781,CHEVROLET,Cruze LT,Sedan,No,Petrol,1.4,22000 ,4.0,Automatic,Front,Left wheel,Red,6,6
60,16935,530,FORD,Fusion,Sedan,No,Petrol,1.6,83000 ,4.0,Tiptronic,Front,Left wheel,Silver,8,11
61,10349,0,TOYOTA,VOXY,Minivan,Yes,Petrol,2.4,170000 ,4.0,Automatic,Front,Right-hand drive,Black,6,17
62,7213,530,NISSAN,Juke,Jeep,Yes,Petrol,1.6,312118 ,4.0,Automatic,Front,Left wheel,Black,0,11
63,5331,0,MERCEDES-BENZ,A 160,Sedan,No,Petrol,1.6,130000 ,4.0,Tiptronic,Front,Left wheel,Black,6,20
64,20526,640,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,200279 ,4.0,Automatic,Front,Left wheel,Grey,4,11
65,9722,765,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,719847 ,4.0,Automatic,Front,Left wheel,Orange,4,9
66,34657,777,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,154672 ,4.0,Automatic,Front,Left wheel,Silver,4,10
67,36564,1091,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,110969 ,4.0,Automatic,Front,Left wheel,Black,4,8
68,314,779,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,225510 ,4.0,Automatic,Front,Left wheel,White,12,11
70,30063,934,HYUNDAI,H1,Universal,Yes,Diesel,2.5,148105 ,4.0,Automatic,Front,Left wheel,Silver,4,9
71,15800,769,CHEVROLET,Captiva,Jeep,Yes,Diesel,2.2,255456 ,4.0,Automatic,Front,Left wheel,Silver,4,13
74,14740,645,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,288000 ,4.0,Automatic,Front,Left wheel,White,8,13
77,18189,0,TOYOTA,Prius,Sedan,No,Petrol,1.8,175000 ,4.0,Automatic,Front,Left wheel,Silver,8,12
79,220,1185,FORD,Escape,Jeep,Yes,Hybrid,2.5,193614 ,4.0,Automatic,Front,Left wheel,White,0,15
81,7527,830,TOYOTA,Yaris,Sedan,Yes,Petrol,1.5,27656 ,4.0,Automatic,Front,Left wheel,White,12,5
84,21953,781,TOYOTA,Camry,Sedan,No,Petrol,2.5,195053 ,4.0,Automatic,Front,Left wheel,Black,0,12
85,19121,531,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,121362 ,4.0,Automatic,Front,Left wheel,Black,4,12
86,36065,639,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,69191 ,4.0,Automatic,Front,Left wheel,White,4,10
87,8781,1111,HONDA,FIT,Hatchback,Yes,Hybrid,1.3,83000 ,4.0,Tiptronic,Front,Right-hand drive,Green,12,12
88,6247,760,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.8,40772 ,4.0,Automatic,Front,Left wheel,Black,4,14
89,16289,642,CHEVROLET,Orlando,Jeep,Yes,Diesel,2.0,172000 ,4.0,Automatic,Front,Left wheel,Grey,4,12
92,549,781,SUBARU,Forester,Jeep,Yes,Petrol,2.5,148213 ,4.0,Automatic,4x4,Left wheel,Blue,0,12
93,6981,1095,DAEWOO,Lacetti,Sedan,Yes,Petrol,2.0,103246 ,4.0,Automatic,Front,Left wheel,Black,4,16
94,27284,891,HYUNDAI,Elantra,Sedan,No,Petrol,2.0,105394 ,4.0,Tiptronic,Front,Left wheel,Black,12,8
95,32929,0,BMW,428 Sport Line,Coupe,Yes,Petrol,2.0,160000 ,4.0,Automatic,Rear,Left wheel,Black,12,11
99,15458,966,HYUNDAI,Genesis,Coupe,Yes,Petrol,2.0,123346 ,4.0,Automatic,Front,Left wheel,Black,4,15
100,2901,473,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.4,80827 ,4.0,Automatic,Front,Left wheel,Green,12,10
102,314,382,FORD,Fusion,Sedan,Yes,Hybrid,2.0,91760 ,4.0,Automatic,Front,Left wheel,Black,12,9
104,26657,0,MERCEDES-BENZ,Sprinter,Microbus,No,Diesel,2.2,300000 ,4.0,Manual,Rear,Left wheel,White,1,20
105,10663,988,TOYOTA,Prius,Hatchback,No,Petrol,1.5,318400 ,4.0,Automatic,Front,Left wheel,Silver,6,17
106,12858,765,FORD,Focus SE,Sedan,No,Petrol,2.0,91200 ,4.0,Automatic,Front,Left wheel,Sky blue,10,9
109,12858,0,KIA,Picanto,Hatchback,No,Petrol,1.2,107000 ,4.0,Manual,Front,Left wheel,Silver,2,8
113,17158,687,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,122740 ,4.0,Automatic,Front,Left wheel,White,4,14
114,12231,0,MITSUBISHI,Airtrek,Jeep,No,LPG,2.4,144000 ,4.0,Tiptronic,4x4,Right-hand drive,White,16,19
117,94,0,HONDA,FIT,Hatchback,No,Petrol,1.5,178000 ,4.0,Variator,Front,Right-hand drive,Silver,4,21
118,25591,640,SSANGYONG,Korando,Jeep,Yes,Diesel,2.0,85704 ,4.0,Automatic,Front,Left wheel,Silver,4,11
119,14897,836,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,58962 ,4.0,Automatic,Front,Left wheel,White,4,14
120,23521,779,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,90000 ,4.0,Tiptronic,Front,Left wheel,White,12,11
122,706,777,MAZDA,616,Sedan,Yes,Petrol,2.5,0 ,4.0,Automatic,Front,Left wheel,Red,12,10
124,16935,765,FORD,Fusion,Sedan,Yes,Petrol,2.0,71454 ,4.0,Automatic,Front,Left wheel,Black,0,9
125,19444,781,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,0 ,4.0,Tiptronic,Front,Left wheel,Black,6,12
126,11604,639,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,346470 ,4.0,Automatic,Front,Left wheel,Silver,4,10
128,706,394,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,115312 ,4.0,Automatic,Front,Left wheel,Grey,12,10
130,13328,1347,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,74444 ,4.0,Automatic,Front,Left wheel,Yellow,4,16
131,17876,0,NISSAN,Serena,Minivan,No,Petrol,2.0,143000 ,4.0,Tiptronic,Front,Right-hand drive,White,12,12
133,20071,0,TOYOTA,RAV 4,Jeep,No,Petrol,2.4,135000 ,4.0,Automatic,4x4,Left wheel,Silver,8,16
134,22894,862,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,124444 ,4.0,Automatic,Front,Left wheel,Yellow,4,13
135,2901,503,HONDA,Civic,Sedan,Yes,Hybrid,1.5,146403 ,4.0,Automatic,Front,Left wheel,White,0,12
139,18660,0,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,130000 ,4.0,Tiptronic,Front,Left wheel,Black,6,11
140,22580,1017,MERCEDES-BENZ,E 300,Sedan,Yes,Petrol,2.0,50930 ,4.0,Automatic,Rear,Left wheel,Black,12,7
141,11604,639,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,264872 ,4.0,Automatic,Front,Left wheel,Silver,4,10
142,314,259,CHEVROLET,Volt,Hatchback,Yes,Hybrid,1.4,131893 ,4.0,Automatic,Front,Left wheel,Brown,0,10
143,5488,751,GMC,TERRAIN,Jeep,Yes,Petrol,2.4,138958 ,4.0,Automatic,Front,Left wheel,Black,12,11
145,18817,609,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,35058 ,4.0,Automatic,Front,Left wheel,White,12,6
146,21169,697,HONDA,Hr-v EX,Jeep,No,Petrol,1.8,33330 ,4.0,Automatic,4x4,Left wheel,Grey,8,9
147,9095,0,FIAT,500,Coupe,No,Petrol,1.2,141000 ,4.0,Automatic,Front,Right-hand drive,Red,4,13
148,1568,639,VOLKSWAGEN,Jetta,Sedan,Yes,Diesel,2.0,82392 ,4.0,Automatic,Front,Left wheel,Silver,12,10
150,17876,585,HYUNDAI,Elantra sport limited,Sedan,Yes,Petrol,1.8,117920 ,4.0,Tiptronic,Front,Left wheel,Grey,12,11
151,11290,891,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,279787 ,4.0,Automatic,Front,Left wheel,Silver,4,8
153,862,394,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,130478 ,4.0,Automatic,Front,Left wheel,White,12,10
154,21395,781,HYUNDAI,H1,Universal,Yes,Diesel,2.5,166144 ,4.0,Automatic,Front,Left wheel,Silver,4,12
155,15681,891,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,258706 ,4.0,Automatic,Front,Left wheel,Silver,4,8
156,627,475,CHEVROLET,Volt,Jeep,Yes,Hybrid,1.4,188419 ,4.0,Automatic,Front,Left wheel,Red,0,12
157,40070,690,TOYOTA,Aqua,Hatchback,Yes,Petrol,1.5,25807 ,4.0,Automatic,Front,Left wheel,Black,4,8
158,11917,0,MERCEDES-BENZ,A 170,Hatchback,No,Petrol,1.7,180000 ,4.0,Automatic,Front,Left wheel,Golden,8,16
160,35927,640,SSANGYONG,REXTON,Jeep,Yes,Diesel,2.0,137267 ,4.0,Automatic,Front,Left wheel,Silver,4,11
161,21012,308,TOYOTA,Prius,Sedan,No,Hybrid,1.8,160000 ,4.0,Automatic,4x4,Left wheel,White,4,10
163,13172,1361,KIA,Carnival grand,Minivan,Yes,Diesel,2.9,84176 ,4.0,Automatic,Front,Left wheel,White,6,15
164,15624,707,HYUNDAI,Genesis,Coupe,Yes,Petrol,2.0,107005 ,4.0,Automatic,Front,Left wheel,Grey,4,13
167,20005,531,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,104997 ,4.0,Automatic,Front,Left wheel,White,4,12
170,470,1077,MAZDA,1000,Jeep,Yes,Petrol,2.0,11566 ,4.0,Automatic,4x4,Left wheel,Black,12,5
173,29479,584,MERCEDES-BENZ,C 250,Sedan,Yes,Petrol,1.8,69000 ,4.0,Tiptronic,Rear,Left wheel,Grey,8,10
174,17249,0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,152000 ,4.0,Variator,Front,Left wheel,White,12,13
175,9408,0,TOYOTA,Vitz funkargo,Universal,No,Petrol,1.5,181926 ,4.0,Automatic,4x4,Right-hand drive,Silver,2,21
179,21950,831,FORD,Transit,Goods wagon,No,Diesel,2.4,125000 ,4.0,Manual,4x4,Left wheel,White,2,13
180,706,475,FIAT,500,Hatchback,Yes,Petrol,1.4,164574 ,4.0,Automatic,Front,Left wheel,Red,12,12
181,3136,473,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.4,156992 ,4.0,Automatic,Front,Left wheel,Black,12,10
188,7840,0,MERCEDES-BENZ,Vaneo,Universal,No,LPG,1.9,170000 ,4.0,Tiptronic,Front,Left wheel,Silver,4,20
190,1490,639,VOLKSWAGEN,Jetta,Universal,Yes,Diesel,2.0,113214 ,4.0,Automatic,Front,Left wheel,Grey,12,10
191,627,836,TOYOTA,Tacoma,Sedan,Yes,Petrol,2.7,394069 ,4.0,Automatic,Rear,Left wheel,Black,12,12
196,706,751,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,175827 ,4.0,Automatic,Front,Left wheel,Black,12,11
198,25716,777,TOYOTA,Camry,Sedan,No,Petrol,2.5,115200 ,4.0,Automatic,Front,Left wheel,Silver,8,10
199,14426,642,CHEVROLET,Orlando,Jeep,Yes,LPG,2.0,132036 ,4.0,Automatic,Front,Left wheel,White,4,12
202,11917,893,HYUNDAI,I30,Hatchback,No,Diesel,1.6,201000 ,4.0,Manual,Front,Left wheel,Black,8,16
203,41281,765,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,185811 ,4.0,Automatic,Front,Left wheel,Black,4,9
207,15681,0,SUZUKI,Grand Vitara,Jeep,No,Petrol,1.6,98000 ,4.0,Automatic,4x4,Left wheel,Black,12,16
208,6586,645,LEXUS,CT 200h,Hatchback,Yes,Hybrid,1.8,122302 ,4.0,Automatic,Front,Left wheel,Black,0,13
209,12544,0,TOYOTA,Prius,Hatchback,No,Hybrid,1.5,140000 ,4.0,Automatic,Front,Left wheel,Beige,6,17
210,30063,639,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,120000 ,4.0,Automatic,Front,Left wheel,White,4,10
212,21639,0,HYUNDAI,Veloster,Hatchback,No,Petrol,1.6,17200 ,4.0,Tiptronic,Front,Left wheel,Red,10,9
213,36692,0,TOYOTA,RAV 4 XLE Sport,Jeep,No,Petrol,2.5,120000 ,4.0,Tiptronic,Front,Left wheel,White,0,11
215,12231,1266,TOYOTA,Aqua,Hatchback,No,Hybrid,1.5,66000 ,4.0,Variator,Front,Right-hand drive,Silver,4,10
216,3136,0,TOYOTA,Sienta,Sedan,No,Petrol,1.5,300000 ,4.0,Variator,Front,Right-hand drive,Beige,4,20
217,10663,0,TOYOTA,Prius,Sedan,Yes,Hybrid,1.8,230000 ,4.0,Variator,Front,Left wheel,Grey,6,15
218,5620,447,HONDA,FIT,Hatchback,Yes,Petrol,1.3,110467 ,4.0,Automatic,Front,Left wheel,White,4,11
220,9408,1111,HONDA,FIT,Hatchback,No,Hybrid,1.3,64000 ,4.0,Variator,Front,Right-hand drive,Black,4,12
221,3,0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,80000 ,4.0,Tiptronic,Front,Left wheel,Grey,6,13
222,15367,640,VOLKSWAGEN,Passat,Sedan,Yes,Diesel,2.0,179200 ,4.0,Tiptronic,Front,Left wheel,White,16,11
224,26594,777,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,179918 ,4.0,Automatic,Front,Left wheel,Silver,4,10
225,36065,779,TOYOTA,Avalon LIMITED,Sedan,Yes,Hybrid,2.5,92200 ,4.0,Tiptronic,Front,Left wheel,Beige,12,11
226,26343,730,KIA,Cerato K3,Sedan,Yes,Diesel,1.6,29000 ,4.0,Tiptronic,Front,Left wheel,Silver,8,8
227,549,862,MAZDA,CX-7,Sedan,Yes,Petrol,2.5,216550 ,4.0,Automatic,Front,Left wheel,Black,12,13
230,14000,585,HYUNDAI,Elantra,Sedan,No,Petrol,1.8,50000 ,4.0,Tiptronic,Front,Left wheel,Grey,10,11
231,17923,473,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.4,127842 ,4.0,Automatic,Front,Left wheel,White,4,10
233,10349,0,OPEL,Astra G,Hatchback,No,Petrol,1.6,180000 ,4.0,Manual,Front,Left wheel,Silver,6,21
236,7527,640,VOLKSWAGEN,Passat,Sedan,Yes,Diesel,2.0,132310 ,4.0,Automatic,Front,Left wheel,Grey,12,11
237,3450,1249,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,60762 ,4.0,Automatic,Front,Left wheel,White,12,7
238,22063,836,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,142264 ,4.0,Automatic,Front,Left wheel,White,4,14
239,2901,503,HONDA,Civic,Sedan,Yes,Hybrid,1.5,146403 ,4.0,Automatic,Front,Left wheel,White,0,12
240,4704,585,TOYOTA,Corolla,Sedan,Yes,Petrol,1.8,227371 ,4.0,Automatic,Front,Left wheel,Silver,12,11
242,941,642,VOLKSWAGEN,Jetta,Sedan,Yes,Diesel,2.0,203440 ,4.0,Automatic,Front,Left wheel,Black,12,12
243,16900,502,HONDA,FIT,Hatchback,Yes,Petrol,1.5,70000 ,4.0,Automatic,Front,Left wheel,Blue,4,11
244,18189,0,NISSAN,Rogue,Jeep,Yes,Petrol,2.5,122000 ,4.0,Automatic,4x4,Left wheel,Silver,4,14
247,15524,586,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,122324 ,4.0,Automatic,Front,Left wheel,Red,7,12
250,862,333,FORD,Fusion,Sedan,Yes,Hybrid,2.0,186048 ,4.0,Automatic,Front,Left wheel,Black,0,10
251,28909,831,HYUNDAI,Elantra,Sedan,Yes,Diesel,1.6,98000 ,4.0,Automatic,Front,Left wheel,White,4,7
252,8467,642,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,573249 ,4.0,Automatic,Front,Left wheel,Black,4,12
253,50,0,TOYOTA,Aqua,Sedan,No,Hybrid,1.5,130000 ,4.0,Automatic,Rear,Right-hand drive,Sky blue,0,11
254,14426,639,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,169024 ,4.0,Automatic,Front,Left wheel,White,4,10
255,9000,1325,VOLKSWAGEN,Sharan,Minivan,No,Petrol,1.4,126000 ,4.0,Automatic,Front,Right-hand drive,Silver,6,13
257,22580,779,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,156666 ,4.0,Automatic,Front,Left wheel,Black,12,11
258,862,259,CHEVROLET,Volt,Jeep,Yes,Hybrid,1.4,133195 ,4.0,Automatic,Front,Left wheel,Black,0,10
259,7464,247,HONDA,FIT,Hatchback,Yes,Hybrid,1.3,114950 ,4.0,Automatic,Front,Left wheel,Blue,4,10
260,1333,1091,FORD,Fusion,Sedan,Yes,Petrol,2.5,154850 ,4.0,Automatic,Front,Left wheel,Black,12,8
264,392,1017,MERCEDES-BENZ,E 300,Sedan,Yes,Petrol,2.0,1600 ,4.0,Automatic,Rear,Left wheel,Black,12,7
265,7683,0,NISSAN,Tiida,Sedan,Yes,CNG,1.8,200000 ,4.0,Variator,Front,Left wheel,Silver,2,18
266,22266,0,FORD,Fusion,Sedan,Yes,Petrol,1.6,85500 ,4.0,Automatic,Front,Left wheel,Black,8,11
268,282,333,FORD,Fusion,Sedan,Yes,Hybrid,2.0,0 ,4.0,Automatic,Front,Left wheel,Silver,0,10
269,392,629,NISSAN,Juke,Jeep,Yes,Petrol,1.6,85944 ,4.0,Automatic,4x4,Left wheel,Black,0,9
270,33556,765,MERCEDES-BENZ,C 300,Sedan,Yes,Petrol,2.0,0 ,4.0,Automatic,Rear,Left wheel,Black,12,9
271,39161,831,SSANGYONG,Actyon,Jeep,Yes,Diesel,1.6,73000 ,4.0,Automatic,Front,Left wheel,White,4,7
272,16308,0,FORD,Transit,Microbus,No,Diesel,2.2,180000 ,4.0,Manual,Front,Left wheel,White,2,16
273,17719,0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.4,92000 ,4.0,Tiptronic,Front,Left wheel,Sky blue,8,15
276,20385,738,CHEVROLET,Cruze,Sedan,No,Petrol,1.4,42000 ,4.0,Tiptronic,Front,Left wheel,Black,12,7
281,9722,765,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,582376 ,4.0,Automatic,Front,Left wheel,Orange,4,9
284,15241,707,HYUNDAI,Genesis,Coupe,Yes,Petrol,2.0,117492 ,4.0,Automatic,Front,Left wheel,Grey,4,13
285,2587,382,FORD,Fusion,Sedan,Yes,Hybrid,2.0,88795 ,4.0,Automatic,Front,Left wheel,Black,0,9
286,15524,1347,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,56769 ,4.0,Automatic,Front,Left wheel,Silver,4,16
287,27911,0,MERCEDES-BENZ,C 250,Sedan,Yes,Petrol,1.8,70000 ,4.0,Tiptronic,Rear,Left wheel,Beige,8,10
288,4861,779,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,136861 ,4.0,Automatic,Front,Left wheel,Blue,12,11
290,18208,531,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,95665 ,4.0,Automatic,Front,Left wheel,Grey,4,12
291,549,481,HYUNDAI,Sonata,Sedan,Yes,Hybrid,2.0,107387 ,4.0,Automatic,Front,Left wheel,Silver,12,7
292,30,0,NISSAN,Tiida,Hatchback,No,Petrol,1.5,0 ,4.0,Automatic,Front,Right-hand drive,Red,4,18
293,34497,779,TOYOTA,RAV 4 Le,Jeep,No,Petrol,2.5,65350 ,4.0,Tiptronic,Front,Left wheel,White,12,11
295,4924,1282,CHEVROLET,Captiva,Jeep,Yes,Diesel,2.0,183923 ,4.0,Automatic,Front,Left wheel,Silver,4,17
299,28225,1079,TOYOTA,CHR,Jeep,No,Petrol,2.0,24000 ,4.0,Automatic,Front,Left wheel,Grey,8,6
302,18817,738,CHEVROLET,Cruze,Hatchback,Yes,Petrol,1.4,29094 ,4.0,Automatic,Front,Left wheel,Grey,0,7
303,4861,382,FORD,Fusion,Sedan,Yes,Hybrid,2.0,148709 ,4.0,Automatic,Front,Left wheel,Red,12,9
306,706,1017,FORD,Escape,Jeep,Yes,Petrol,2.0,251430 ,4.0,Automatic,Front,Left wheel,Blue,12,7
307,39201,456,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,35000 ,4.0,Automatic,Front,Left wheel,Grey,10,9
308,36426,880,HYUNDAI,Elantra,Sedan,Yes,LPG,1.6,35643 ,4.0,Automatic,Front,Left wheel,White,4,6
309,8467,0,HONDA,Civic,Hatchback,No,Petrol,1.8,250000 ,4.0,Manual,Front,Right-hand drive,Grey,4,18
311,12701,900,HONDA,Cr-v,Jeep,Yes,Petrol,2.4,117158 ,4.0,Automatic,Front,Left wheel,White,12,9
312,8154,781,SUBARU,Forester,Jeep,Yes,Petrol,2.5,281659 ,4.0,Automatic,4x4,Left wheel,Blue,0,12
317,1176,639,MITSUBISHI,Colt Lancer,Hatchback,Yes,Petrol,2.0,136634 ,4.0,Automatic,Front,Left wheel,Silver,12,10
319,5802,988,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.5,140000 ,4.0,Variator,Front,Left wheel,Green,12,17
320,2901,1277,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,45494 ,4.0,Automatic,Front,Left wheel,White,12,6
321,1882,442,TOYOTA,Prius,Sedan,Yes,Hybrid,1.8,47672 ,4.0,Automatic,Front,Left wheel,White,12,7
323,11290,0,HONDA,FIT,Sedan,No,Hybrid,1.3,145000 ,4.0,Automatic,Front,Right-hand drive,Silver,8,11
325,14426,0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.4,188800 ,4.0,Variator,Front,Left wheel,Grey,8,18
326,36065,1051,MITSUBISHI,Outlander,Jeep,Yes,Petrol,2.4,39000 ,4.0,Variator,Front,Left wheel,Silver,12,8
327,27284,0,TOYOTA,Camry SE,Sedan,Yes,Petrol,2.5,52000 ,4.0,Tiptronic,Front,Left wheel,Black,12,10
328,21639,1091,SUBARU,Forester,Jeep,No,Petrol,2.5,34000 ,4.0,Variator,4x4,Left wheel,White,7,8
329,7840,790,HYUNDAI,I30,Hatchback,Yes,Petrol,1.6,140000 ,4.0,Automatic,Front,Left wheel,Silver,4,15
333,24198,640,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,124000 ,4.0,Automatic,Front,Left wheel,Silver,4,11
334,25365,502,HONDA,FIT,Hatchback,Yes,Petrol,1.5,34682 ,4.0,Automatic,Front,Left wheel,Grey,4,11
335,1725,777,CHEVROLET,Malibu,Sedan,Yes,Petrol,2.5,310061 ,4.0,Automatic,Front,Left wheel,Blue,12,10
337,17249,586,TOYOTA,Prius,Sedan,No,Hybrid,1.8,22400 ,4.0,Automatic,Front,Left wheel,White,8,12
339,31361,639,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.0,62000 ,4.0,Tiptronic,Front,Left wheel,White,12,10
340,4704,1047,HYUNDAI,Elantra,Sedan,Yes,Diesel,1.6,54279 ,4.0,Automatic,Front,Left wheel,Silver,4,17
341,12720,645,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.8,135759 ,4.0,Automatic,Front,Left wheel,Grey,4,13
342,26372,640,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,120534 ,4.0,Automatic,Front,Left wheel,Silver,4,11
344,25591,528,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,140000 ,4.0,Automatic,Front,Left wheel,White,4,10
349,627,1077,TOYOTA,CHR,Jeep,Yes,Petrol,2.0,24339 ,4.0,Automatic,Front,Left wheel,Blue,12,5
